time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz,scenario,provider,timestamp,enodeb,drive_id
110.27,1544619965,1018.03,51.484567,7.41894,144.33,12.55,0.48,193.22,1,-104,-8,6,13,22,16,13392906,346,10,0.5,3.21,328,1865,suburban,vodafone,2018-12-12T13:06:05Z,52316,5
119.9,1544619974,1145.55,51.483474,7.417952,144.09,14.16,0.06,213.43,1,-106,-9,5,7,34,8,28365056,222,11,1,7.63,41,1815,suburban,tmobile,2018-12-12T13:06:14Z,110801,5
120.29,1544619975,1156.09,51.483467,7.41795,141.58,14.15,0.03,213.36,1,-105,-8,9,14,20,16,13392906,346,11,1,18.74,440,1865,suburban,vodafone,2018-12-12T13:06:15Z,52316,5
120.02,1544619977,1165.25,51.483244,7.417696,143,14.15,-0,212.12,1,-98,-10,-11,6,36,17,13427483,146,11,3,2.77,136,1845,suburban,o2,2018-12-12T13:06:17Z,52451,5
123.06,1544619980,1207.65,51.482929,7.417419,143.28,14.18,0.05,206.75,1,-99,-12,0,6,39,17,13427483,146,10,1,1.01,6095,1845,suburban,o2,2018-12-12T13:06:20Z,52451,5
129.9,1544619984,1282.01,51.48249,7.417155,143.32,12.29,-1.04,201.95,1,-111,-8,3,9,15,16,13392906,346,12,0.5,10.23,62,1865,suburban,vodafone,2018-12-12T13:06:24Z,52316,5
129.9,1544619985,1283.6,51.482386,7.417072,145.47,11.74,-0.57,201.22,1,-103,-11,3,9,34,8,28365056,222,12,10,11.53,49,1815,suburban,tmobile,2018-12-12T13:06:25Z,110801,5
130.27,1544619987,1298.43,51.48221,7.41697,145.81,10.45,-0.56,198.91,1,-99,-12,1,6,38,17,13427483,146,12,5,2.62,303,1845,suburban,o2,2018-12-12T13:06:27Z,52451,5
139.9,1544619995,1357.69,51.481806,7.416769,147.7,1.96,-0.9,202.49,1,-94,-9,13,15,45,8,28365056,222,13,9,16.68,62,1815,suburban,tmobile,2018-12-12T13:06:35Z,110801,5
139.93,1544619995,1364.71,51.481819,7.416789,146.69,2.52,-0.89,201.58,1,-108,-8,8,11,17,16,13392906,346,13,4,17.92,152,1865,suburban,vodafone,2018-12-12T13:06:35Z,52316,5
140.94,1544619998,1352.03,51.4818,7.416759,146.98,0,-0.75,201.79,1,-100,-15,-3,6,40,17,13427483,146,13,9,3.62,536,1845,suburban,o2,2018-12-12T13:06:38Z,52451,5
150.09,1544620004,1370.66,51.481787,7.416772,146.79,0,0,200.93,1,-110,-8,3,9,17,16,13392906,346,14,10,27.31,102,1865,suburban,vodafone,2018-12-12T13:06:44Z,52316,5
149.94,1544620005,1360.42,51.481802,7.416765,147.86,0,0,202.49,1,-94,-9,10,7,45,8,28365056,222,14,3,10.11,99,1815,suburban,tmobile,2018-12-12T13:06:45Z,110801,5
150.78,1544620007,1352.03,51.4818,7.416759,147.05,0,0,201.79,1,-99,-16,-8,4,43,17,13427483,146,14,3,1.37,577,1845,suburban,o2,2018-12-12T13:06:47Z,52451,5
159.86,1544620014,1370.66,51.481787,7.416772,146.88,0,0,200.93,1,-110,-9,3,9,18,16,13392906,346,15,5,31.87,72,1865,suburban,vodafone,2018-12-12T13:06:54Z,52316,5
159.91,1544620015,1360.42,51.481802,7.416765,148.01,0,0,202.49,1,-90,-9,12,9,50,8,28365056,222,15,5,11.34,56,1815,suburban,tmobile,2018-12-12T13:06:55Z,110801,5
160.45,1544620017,1352.03,51.4818,7.416759,147.1,0,0,201.79,1,-102,-16,-6,5,39,10,13884185,146,15,1,2.59,310,1845,suburban,o2,2018-12-12T13:06:57Z,54235,5
169.92,1544620025,1362.14,51.48173,7.416718,150.56,3.07,1.35,204.21,1,-94,-9,5,7,45,8,28365056,222,16,7,12.73,44,1815,suburban,tmobile,2018-12-12T13:07:05Z,110801,5
169.91,1544620025,1370.66,51.481772,7.416763,147.22,1.66,0,196.54,1,-110,-8,4,9,17,16,13392906,346,16,6,18.44,63,1865,suburban,vodafone,2018-12-12T13:07:05Z,52316,5
169.96,1544620027,1355.67,51.481702,7.416686,148.36,3.74,1.3,200.67,1,-95,-14,-2,6,45,10,13884185,27,16,9,6.1,85,1845,suburban,o2,2018-12-12T13:07:07Z,54235,5
179.9,1544620034,1419.77,51.481478,7.417291,152.63,10.98,1.04,80.39,1,-90,-10,4,5,50,8,28365056,222,17,4,15.79,65,1815,suburban,tmobile,2018-12-12T13:07:14Z,110801,5
179.88,1544620034,1421.93,51.481455,7.417125,147,9.98,1.17,84.6,1,-103,-8,13,10,24,16,13392906,346,17,6,24.67,55,1865,suburban,vodafone,2018-12-12T13:07:14Z,52316,5
180.53,1544620037,1430.84,51.481495,7.417627,151.3,13.08,1.66,83.12,1,-88,-12,5,5,50,9,13884185,27,17,0.1,1.04,388,1845,suburban,o2,2018-12-12T13:07:17Z,54235,5
189.93,1544620044,1555.84,51.481617,7.419295,148.82,15.15,0.19,85.5,1,-88,-10,-1,8,52,8,28365056,222,18,7,13.86,56,1815,suburban,tmobile,2018-12-12T13:07:24Z,110801,5
189.87,1544620044,1550.08,51.481605,7.419049,151.32,14.9,-0.03,84.26,1,-98,-7,8,12,26,16,13392906,346,18,0.1,6.56,58,1865,suburban,vodafone,2018-12-12T13:07:24Z,52316,5
189.81,1544620047,1558.28,51.481608,7.419499,149.9,15.23,0.22,86.04,1,-88,-10,-4,6,46,11,13495579,134,18,7,7.56,34,1845,suburban,o2,2018-12-12T13:07:27Z,52717,5
199.88,1544620054,1699.4,51.481734,7.421249,145.55,15.14,0.27,80.93,1,-102,-8,1,9,23,16,13392906,346,19,4,25.22,50,1865,suburban,vodafone,2018-12-12T13:07:34Z,52316,5
199.93,1544620055,1706.11,51.481743,7.421428,141.17,15.28,0.01,79.7,1,-94,-11,-1,3,47,8,28365056,222,19,9,16.21,84,1815,suburban,tmobile,2018-12-12T13:07:35Z,110801,5
199.79,1544620057,1707.74,51.481753,7.421657,139.88,14.97,0.1,81.37,1,-87,-12,-2,6,51,11,13495577,135,19,6,4.12,42,1845,suburban,o2,2018-12-12T13:07:37Z,52717,5
209.95,1544620064,1853.89,51.482062,7.423515,131.14,12.77,-0.04,77.76,1,-98,-7,4,6,38,16,28368386,213,20,4,6.23,41,1815,suburban,tmobile,2018-12-12T13:07:44Z,110814,5
209.85,1544620064,1849.69,51.482018,7.423321,136.64,13.02,-1.09,76.19,1,-89,-6,16,15,33,16,13392906,346,20,6,19.22,59,1865,suburban,vodafone,2018-12-12T13:07:44Z,52316,5
209.99,1544620067,1852.69,51.482037,7.423682,128.29,13.37,0.3,77.12,1,-95,-13,-2,6,43,16,13884417,385,20,0.1,2.2,92,850,suburban,o2,2018-12-12T13:07:47Z,54236,5
219.89,1544620075,1977.06,51.482293,7.42522,128.05,11.53,0.17,77.2,1,-97,-7,7,6,41,16,28368386,213,21,0.5,4.45,45,1815,suburban,tmobile,2018-12-12T13:07:55Z,110814,5
219.88,1544620075,1975.2,51.482261,7.425041,132.17,11.26,-0.28,77.67,1,-96,-6,23,9,29,16,13392906,346,21,4,19.84,55,1865,suburban,vodafone,2018-12-12T13:07:55Z,52316,5
219.82,1544620077,1974.41,51.482294,7.425387,123.37,11.16,-0.05,78.24,1,-98,-12,-1,7,38,16,13884417,385,21,8,3.03,53,850,suburban,o2,2018-12-12T13:07:57Z,54236,5
229.89,1544620084,2085.26,51.482524,7.426764,133.14,10.94,0.55,76.54,1,-95,-9,-2,6,44,16,28368386,213,22,0.5,3.92,56,1815,suburban,tmobile,2018-12-12T13:08:04Z,110814,5
229.89,1544620084,2085.88,51.482484,7.426607,135.78,10.48,0.04,75.81,1,-89,-8,10,15,38,16,13392906,346,22,7,23.03,53,1865,suburban,vodafone,2018-12-12T13:08:04Z,52316,5
231.97,1544620089,2103.19,51.48255,7.427233,134.81,11.53,0.95,79.1,1,-92,-13,0,6,46,16,13884417,385,22,1,0.39,512,850,suburban,o2,2018-12-12T13:08:09Z,54236,5
239.89,1544620094,2200.77,51.482616,7.42832,139.59,12.5,-0.08,89.2,1,-90,-8,-2,11,35,16,13392906,346,23,3,16.56,54,1865,suburban,vodafone,2018-12-12T13:08:14Z,52316,5
239.91,1544620095,2201.53,51.482634,7.428494,136.8,13.06,0.42,89.11,1,-98,-10,3,5,43,16,28368386,213,23,1,2.99,83,1815,suburban,tmobile,2018-12-12T13:08:15Z,110814,5
241.2,1544620098,2229.57,51.482587,7.429102,138.38,14.5,0.48,94.1,1,-95,-13,-1,6,44,16,13884417,385,23,6,2.46,136,850,suburban,o2,2018-12-12T13:08:18Z,54236,5
249.87,1544620105,2340.37,51.482465,7.43046,136.86,12.66,-0.52,97.04,1,-97,-8,1,6,40,15,29563904,96,24,1,10.15,36,1815,suburban,tmobile,2018-12-12T13:08:25Z,115484,5
249.89,1544620105,2337.52,51.482457,7.430285,140.14,12.76,-0.87,95.52,1,-86,-6,5,6,38,4,13392904,347,24,5,51.95,59,1865,suburban,vodafone,2018-12-12T13:08:25Z,52316,5
252.23,1544620109,2373.38,51.482406,7.431115,139.8,8.65,-1.51,97.14,1,-98,-16,-3,5,43,22,13884161,51,24,8,2.36,1352,850,suburban,o2,2018-12-12T13:08:29Z,54235,5
259.89,1544620114,2414.72,51.482364,7.431286,137.44,0,0,96.12,1,-70,-5,15,15,55,4,13392904,347,25,3,67.23,58,1865,suburban,vodafone,2018-12-12T13:08:34Z,52316,5
259.88,1544620115,2404.72,51.482375,7.431264,136.85,0,0,98.39,1,-94,-8,8,6,43,6,28367106,86,25,0.5,6.72,34,1815,suburban,tmobile,2018-12-12T13:08:35Z,110809,5
261.1,1544620118,2392.33,51.482386,7.431318,139.54,0,0,98.57,1,-93,-12,1,5,44,12,13884417,385,25,4,1.35,734,850,suburban,o2,2018-12-12T13:08:38Z,54236,5
269.89,1544620124,2404.72,51.482375,7.431264,136.86,0,0,98.39,1,-91,-7,7,7,43,6,28367106,86,26,0.1,3.88,71,1815,suburban,tmobile,2018-12-12T13:08:44Z,110809,5
269.9,1544620124,2414.72,51.482364,7.431286,137.52,0,0,96.12,1,-69,-4,25,15,55,4,13392904,347,26,0.5,32.52,57,1865,suburban,vodafone,2018-12-12T13:08:44Z,52316,5
271.81,1544620128,2392.33,51.482386,7.431318,139.56,0,0,98.57,1,-93,-12,-1,6,45,12,13884417,385,26,8,4.59,9153,850,suburban,o2,2018-12-12T13:08:48Z,54236,5
279.92,1544620134,2414.72,51.482364,7.431286,137.54,0,0,96.12,1,-69,-4,29,14,54,4,13392904,347,27,1,46.51,64,1865,suburban,vodafone,2018-12-12T13:08:54Z,52316,5
279.91,1544620135,2404.72,51.482375,7.431264,136.82,0,0,98.39,1,-91,-7,8,7,43,6,28367106,86,27,1,8.78,50,1815,suburban,tmobile,2018-12-12T13:08:55Z,110809,5
281.53,1544620139,2392.33,51.482386,7.431318,139.54,0,0,98.57,1,-93,-12,4,6,46,12,13884417,385,27,0.1,0.44,746,850,suburban,o2,2018-12-12T13:08:59Z,54236,5
289.9,1544620144,2412.51,51.482339,7.431594,139.57,8.8,1.02,98.04,1,-85,-6,12,10,48,6,28367106,86,28,0.1,7.69,36,1815,suburban,tmobile,2018-12-12T13:09:04Z,110809,5
289.94,1544620144,2414.72,51.482339,7.431491,138.64,7.76,0,97.09,1,-74,-5,28,15,51,4,13392904,347,28,3,53.22,60,1865,suburban,vodafone,2018-12-12T13:09:04Z,52316,5
290.64,1544620148,2417.92,51.482362,7.431911,141.23,10.23,0.88,94.89,1,-90,-12,4,5,47,12,13884417,385,28,2,3.74,661,850,suburban,o2,2018-12-12T13:09:08Z,54236,5
299.86,1544620154,2525.14,51.482224,7.433146,142.27,14.19,0.46,96.9,1,-76,-5,27,15,47,4,13392904,347,29,8,61.54,52,1865,suburban,vodafone,2018-12-12T13:09:14Z,52316,5
299.87,1544620155,2529.51,51.482216,7.433348,141.55,14.22,0.01,96.97,1,-90,-8,3,9,49,11,28368386,213,29,2,8.34,39,1815,suburban,tmobile,2018-12-12T13:09:15Z,110814,5
299.79,1544620157,2530.37,51.482223,7.433554,140.67,13.87,-0.24,97.04,1,-90,-10,9,7,45,12,13884417,385,29,6,3.59,38,850,suburban,o2,2018-12-12T13:09:17Z,54236,5
309.92,1544620164,2661.89,51.482069,7.435215,142.39,11.28,-0.36,96.42,1,-87,-7,3,8,52,4,28367106,86,30,0.5,4.74,199,1815,suburban,tmobile,2018-12-12T13:09:24Z,110809,5
309.87,1544620165,2659.82,51.482078,7.435026,140.44,11.86,-0.21,99.46,1,-80,-6,21,15,44,4,13392904,347,30,4,39.41,63,1865,suburban,vodafone,2018-12-12T13:09:25Z,52316,5
311.41,1544620168,2677.99,51.482076,7.435663,141.03,9.91,0.24,94.5,1,-88,-12,3,9,50,12,13884417,385,30,1,1.43,575,850,suburban,o2,2018-12-12T13:09:28Z,54236,5
319.89,1544620174,2769.46,51.481974,7.436641,141.57,10.94,-0.45,92.47,1,-87,-9,14,12,39,4,13392904,347,31,0.5,19.42,74,1865,suburban,vodafone,2018-12-12T13:09:34Z,52316,5
319.9,1544620175,2773.03,51.481961,7.436812,143.04,11.09,-0.26,96.06,1,-94,-10,6,11,46,4,28367105,85,31,10,18.47,91,1815,suburban,tmobile,2018-12-12T13:09:35Z,110809,5
319.82,1544620177,2767.94,51.481987,7.436951,145.14,10.73,-0.79,95.58,1,-84,-7,13,8,48,12,13884417,385,31,2,1.93,108,850,suburban,o2,2018-12-12T13:09:37Z,54236,5
329.89,1544620185,2863.77,51.481867,7.438062,146.48,3.92,-1.18,94.18,1,-85,-6,23,12,50,4,28367105,85,32,0.5,8.39,38,1815,suburban,tmobile,2018-12-12T13:09:45Z,110809,5
329.9,1544620185,2865.78,51.481876,7.438034,143.42,5.31,-1.27,98.73,1,-95,-10,1,7,29,4,13392904,347,32,2,24.1,50,1865,suburban,vodafone,2018-12-12T13:09:45Z,52316,5
329.89,1544620187,2848.9,51.481898,7.438084,146.14,3.5,-0.11,96.14,1,-90,-9,5,8,43,12,13884417,385,32,0.1,3.43,46,850,suburban,o2,2018-12-12T13:09:47Z,54236,5
339.9,1544620194,2884.19,51.481825,7.438418,146.91,3.22,2.21,105.6,1,-88,-6,20,10,49,4,28367105,85,33,6,23.82,39,1815,suburban,tmobile,2018-12-12T13:09:54Z,110809,5
339.96,1544620195,2890.65,51.481841,7.438358,144.69,0,0,98.24,1,-96,-8,4,12,30,5,13392905,345,33,10,29.18,55,1865,suburban,vodafone,2018-12-12T13:09:55Z,52316,5
339.82,1544620197,2866.49,51.481875,7.438422,146.21,4.25,2.08,92.05,1,-87,-9,6,10,50,12,13884417,385,33,0.1,4.47,33,850,suburban,o2,2018-12-12T13:09:57Z,54236,5
349.88,1544620204,2933.22,51.481799,7.439181,149.11,9.36,0.52,96.67,1,-98,-7,11,10,27,5,13392905,345,34,9,30.61,53,1865,suburban,vodafone,2018-12-12T13:10:04Z,52316,5
349.94,1544620205,2943.94,51.481777,7.43931,148.16,10.47,0.75,94.62,1,-84,-6,15,12,51,8,28368386,213,34,3,12.42,63,1815,suburban,tmobile,2018-12-12T13:10:05Z,110814,5
349.83,1544620207,2932.81,51.481797,7.43944,149.49,10.97,0.58,94.31,1,-84,-8,17,10,49,12,13884417,385,34,2,7.5,46,850,suburban,o2,2018-12-12T13:10:07Z,54236,5
359.89,1544620214,3064.73,51.481683,7.441043,149.49,12.46,0.05,97.39,1,-92,-7,7,10,45,8,28368386,213,35,0.1,4.49,40,1815,suburban,tmobile,2018-12-12T13:10:14Z,110814,5
359.87,1544620214,3051.09,51.481722,7.440896,145.2,12.41,-0.21,96.75,1,-96,-7,7,12,28,5,13392905,345,35,1,20.05,59,1865,suburban,vodafone,2018-12-12T13:10:14Z,52316,5
359.91,1544620217,3054.92,51.481688,7.441214,151.98,12.52,0.05,99.77,1,-90,-10,13,8,44,12,13884417,385,35,6,4.34,41,850,suburban,o2,2018-12-12T13:10:17Z,54236,5
369.88,1544620224,3197.13,51.480999,7.442563,154.99,13.06,-0.64,134.23,1,-86,-5,19,11,49,7,28367105,85,36,0.1,8.08,38,1815,suburban,tmobile,2018-12-12T13:10:24Z,110809,5
369.87,1544620224,3181.64,51.481097,7.442483,150.97,13.61,-0.07,133.2,1,-102,-6,10,11,22,5,13392905,345,36,0.5,19.8,53,1865,suburban,vodafone,2018-12-12T13:10:24Z,52316,5
370.19,1544620228,3202.07,51.480847,7.44287,154.01,12.3,-0.3,132.4,1,-85,-9,-3,6,49,13,12896769,375,36,6,8.36,140,850,suburban,o2,2018-12-12T13:10:28Z,50378,5
379.88,1544620234,3311.63,51.480096,7.443302,157.45,11.71,0.6,152.95,1,-96,-7,12,9,43,7,28367105,85,37,3,3.87,35,1815,suburban,tmobile,2018-12-12T13:10:34Z,110809,5
379.86,1544620234,3298.11,51.480199,7.443228,152.48,11.41,0.74,157.75,1,-102,-7,7,11,25,5,13392905,345,37,7,25.72,54,1865,suburban,vodafone,2018-12-12T13:10:34Z,52316,5
379.8,1544620237,3301.25,51.48001,7.443375,158.75,11.88,0.33,155.5,1,-73,-12,30,9,63,13,12896769,375,37,10,15.67,38,850,suburban,o2,2018-12-12T13:10:37Z,50378,5
389.86,1544620244,3429.15,51.479107,7.444181,157.24,14.96,0.37,151.47,1,-111,-9,5,9,16,5,13392905,345,38,10,7.61,66,1865,suburban,vodafone,2018-12-12T13:10:44Z,52316,5
390.3,1544620245,3461.41,51.478895,7.44434,158.57,14.94,-0.27,151.59,1,-101,-11,5,10,39,7,28368386,213,38,9,7.74,86,1815,suburban,tmobile,2018-12-12T13:10:45Z,110814,5
389.83,1544620247,3439.2,51.478934,7.444342,160.67,14.93,-0.29,151.72,1,-70,-7,28,15,63,13,12896769,375,38,10,15.01,33,850,suburban,o2,2018-12-12T13:10:47Z,50378,5
399.85,1544620254,3595.45,51.477836,7.445258,158.45,14.81,-0.03,151.48,1,-100,-8,-2,6,36,7,28368384,215,39,5,13.2,38,1815,suburban,tmobile,2018-12-12T13:10:54Z,110814,5
400.72,1544620256,3593.32,51.47784,7.445292,159.02,14.83,-0.01,151.5,1,-118,-11,-2,7,10,5,13392905,345,39,1,12.84,257,1865,suburban,vodafone,2018-12-12T13:10:56Z,52316,5
399.82,1544620257,3588.25,51.477758,7.445377,161.44,14.91,0.07,151.33,1,-67,-8,22,14,63,13,12896769,375,39,3,7.09,48,850,suburban,o2,2018-12-12T13:10:57Z,50378,5
409.85,1544620264,3729.81,51.476759,7.446208,160.31,15.2,0,151.7,1,-73,-9,4,9,56,3,12973569,333,40,2,30.08,46,860,suburban,vodafone,2018-12-12T13:11:04Z,50678,5
409.92,1544620265,3746.96,51.476633,7.446304,158.15,15.1,-0.11,152,1,-92,-6,13,10,44,11,29568768,415,40,8,26.2,51,1815,suburban,tmobile,2018-12-12T13:11:05Z,115503,5
409.8,1544620267,3740.03,51.476542,7.44642,159.41,14.88,-0.16,152.05,1,-58,-8,29,15,63,13,12896769,375,40,8,25.26,31,850,suburban,o2,2018-12-12T13:11:07Z,50378,5
419.86,1544620274,3871.83,51.475622,7.447196,159.62,13.05,-0.04,150.88,1,-66,-6,19,14,59,3,12973570,334,41,1,27.68,120,860,suburban,vodafone,2018-12-12T13:11:14Z,50678,5
419.9,1544620275,3886.94,51.475533,7.447252,158.34,12.78,-0.17,149.83,1,-85,-4,14,12,50,11,29568768,415,41,10,23.27,57,1815,suburban,tmobile,2018-12-12T13:11:15Z,115503,5
419.79,1544620277,3877.45,51.475484,7.447345,159.84,12.31,-0.34,148.93,1,-62,-6,22,1,63,13,12896769,375,41,1,6.28,32,850,suburban,o2,2018-12-12T13:11:17Z,50378,5
429.9,1544620284,3979.93,51.474886,7.447978,159.79,7.58,-0.18,143.94,1,-77,-7,19,12,50,3,12973570,334,42,1,47.9,47,860,suburban,vodafone,2018-12-12T13:11:24Z,50678,5
429.9,1544620285,3989.45,51.474813,7.448021,160.7,7.51,-0.01,142.96,1,-100,-8,8,6,39,7,28368384,215,42,7,20.6,36,1815,suburban,tmobile,2018-12-12T13:11:25Z,110814,5
429.85,1544620287,3974.83,51.474788,7.448125,161.23,7.17,-0.35,142.42,1,-69,-7,20,10,63,13,12896769,375,42,9,10.93,35,850,suburban,o2,2018-12-12T13:11:27Z,50378,5
439.9,1544620294,4046.15,51.474441,7.448511,163.13,0.83,-1.18,141,1,-100,-9,4,7,40,8,29568768,415,43,5,12.77,41,1815,suburban,tmobile,2018-12-12T13:11:34Z,115503,5
439.89,1544620294,4042.39,51.474444,7.448546,161.66,1.97,-1.3,141.21,1,-80,-6,19,12,45,3,12973570,334,43,10,53.37,48,860,suburban,vodafone,2018-12-12T13:11:34Z,50678,5
439.83,1544620297,4025.06,51.474465,7.44855,162.84,0,-0.87,140.04,1,-66,-9,18,12,63,13,12896769,375,43,0.5,10.96,36,850,suburban,o2,2018-12-12T13:11:37Z,50378,5
449.94,1544620304,4045.26,51.474438,7.448555,161.6,0,0,141.21,1,-77,-6,20,11,49,3,12973570,334,44,9,55.21,44,860,suburban,vodafone,2018-12-12T13:11:44Z,50678,5
449.88,1544620305,4046.98,51.474441,7.448511,163.14,0,0,141,1,-99,-9,6,7,43,8,29568768,415,44,0.5,10.42,35,1815,suburban,tmobile,2018-12-12T13:11:45Z,115503,5
449.82,1544620306,4025.06,51.474465,7.44855,162.83,0,0,140.04,1,-69,-11,19,11,63,13,12896769,375,44,7,13.95,34,850,suburban,o2,2018-12-12T13:11:46Z,50378,5
459.88,1544620314,4045.26,51.474438,7.448555,161.58,0,0,141.21,1,-76,-6,22,12,50,3,12973570,334,45,4,76.37,46,860,suburban,vodafone,2018-12-12T13:11:54Z,50678,5
459.87,1544620315,4046.98,51.474441,7.448511,163.11,0,0,141,1,-99,-8,8,7,41,8,29568768,415,45,0.5,7.75,42,1815,suburban,tmobile,2018-12-12T13:11:55Z,115503,5
459.91,1544620317,4025.06,51.474465,7.44855,162.81,0,0,140.04,1,-69,-11,19,12,63,13,12896769,375,45,0.5,11.02,40,850,suburban,o2,2018-12-12T13:11:57Z,50378,5
469.93,1544620325,4046.98,51.474441,7.448511,163.12,0,0,141,1,-99,-9,8,7,41,8,29568768,415,46,2,3.24,44,1815,suburban,tmobile,2018-12-12T13:12:05Z,115503,5
469.89,1544620325,4045.26,51.474438,7.448555,161.55,0,0,141.21,1,-77,-6,21,12,49,3,12973570,334,46,7,72.73,47,860,suburban,vodafone,2018-12-12T13:12:05Z,50678,5
469.85,1544620327,4025.06,51.474465,7.44855,162.77,0,0,140.04,1,-68,-11,19,12,63,13,12896769,375,46,0.5,4.9,37,850,suburban,o2,2018-12-12T13:12:07Z,50378,5
479.89,1544620334,4045.26,51.474438,7.448555,161.55,0,0,141.21,1,-79,-7,19,12,49,3,12973570,334,47,2,63.49,43,860,suburban,vodafone,2018-12-12T13:12:14Z,50678,5
479.88,1544620335,4046.98,51.474441,7.448511,163.16,0,0,141,1,-101,-7,9,10,37,8,29568768,415,47,0.1,2.6,85,1815,suburban,tmobile,2018-12-12T13:12:15Z,115503,5
479.83,1544620337,4025.06,51.474465,7.44855,162.58,0,0,140.04,1,-67,-11,19,12,63,13,12896769,375,47,9,13.81,44,850,suburban,o2,2018-12-12T13:12:17Z,50378,5
489.85,1544620344,4045.26,51.474438,7.448555,161.6,0,0,141.21,1,-78,-6,21,12,49,3,12973570,334,48,0.5,22.35,47,860,suburban,vodafone,2018-12-12T13:12:24Z,50678,5
489.88,1544620345,4046.98,51.474441,7.448511,163.05,0,0,141,1,-99,-8,10,7,40,8,29568768,415,48,2,4.79,84,1815,suburban,tmobile,2018-12-12T13:12:25Z,115503,5
489.83,1544620347,4025.06,51.474465,7.44855,162.46,0,0,140.04,1,-68,-10,21,12,63,13,12896769,375,48,8,8.09,35,850,suburban,o2,2018-12-12T13:12:27Z,50378,5
500,1544620355,4099.9,51.473958,7.449179,161.08,12.48,0.94,138,1,-90,-7,15,9,48,9,28368384,215,49,7,24.93,52,1815,suburban,tmobile,2018-12-12T13:12:35Z,110814,5
499.88,1544620355,4076.66,51.474104,7.4490170000000004,165.46,10.23,0.71,138.87,1,-83,-7,14,10,45,3,12973570,334,49,3,27.27,45,860,suburban,vodafone,2018-12-12T13:12:35Z,50678,5
499.79,1544620357,4078.14,51.473974,7.449241,162.37,12.41,0.79,137.99,1,-56,-9,16,11,63,13,12896769,375,49,0.1,5.33,41,850,suburban,o2,2018-12-12T13:12:37Z,50378,5
509.9,1544620364,4206.64,51.473302,7.450426,161.81,14.31,0.12,127.05,1,-84,-10,7,8,45,3,12973570,334,50,9,32.36,50,860,suburban,vodafone,2018-12-12T13:12:44Z,50678,5
509.89,1544620365,4222.46,51.473219,7.450554,162.16,14.51,0.19,125.58,1,-89,-6,16,11,48,7,29568768,415,50,4,18.6,37,1815,suburban,tmobile,2018-12-12T13:12:45Z,115503,5
509.85,1544620367,4215.73,51.473177,7.450781,161.37,14.66,0.17,124.28,1,-71,-16,-5,5,63,13,12896769,375,50,6,7.18,35,850,suburban,o2,2018-12-12T13:12:47Z,50378,5
519.93,1544620375,4363.52,51.472696,7.452402,161.84,14,0.21,108.61,1,-79,-5,26,13,57,7,29568768,415,51,1,12.35,37,1815,suburban,tmobile,2018-12-12T13:12:55Z,115503,5
519.9,1544620375,4348.11,51.472734,7.452245,160.4,13.82,0.2,111.36,1,-75,-7,19,12,53,6,13394179,495,51,4,60.49,56,860,suburban,vodafone,2018-12-12T13:12:55Z,52321,5
519.82,1544620377,4356.27,51.4727,7.452628,160.99,13.69,-0.3,107.31,1,-62,-11,19,15,63,1,12896770,377,51,0.5,13.51,40,850,suburban,o2,2018-12-12T13:12:57Z,50378,5
529.88,1544620384,4496.13,51.472419,7.454259,162.8,13.46,-0.38,105.75,1,-85,-6,35,15,52,7,29568768,415,52,1,6.29,88,1815,suburban,tmobile,2018-12-12T13:13:04Z,115503,5
529.9,1544620384,4480.11,51.472455,7.454088,161.51,13.8,0.48,105.65,1,-81,-6,13,9,45,6,13394179,495,52,0.5,26.14,57,860,suburban,vodafone,2018-12-12T13:13:04Z,52321,5
529.82,1544620387,4487.98,51.472424,7.454489,164.48,13.33,-0.21,106.43,1,-65,-11,25,11,63,1,12896770,377,52,4,7.4,37,850,suburban,o2,2018-12-12T13:13:07Z,50378,5
539.88,1544620395,4636.37,51.472007,7.456191,158.97,14.55,0.08,112.58,1,-88,-6,29,10,48,7,29568768,415,53,1,9.85,36,1815,suburban,tmobile,2018-12-12T13:13:15Z,115503,5
539.92,1544620395,4619.61,51.472085,7.456015,159.47,14.39,0.1,112.11,1,-87,-7,12,12,41,6,13394179,495,53,7,35.65,70,860,suburban,vodafone,2018-12-12T13:13:15Z,52321,5
539.83,1544620397,4628.87,51.471977,7.456396,160.16,14.62,0.15,113.17,1,-79,-12,19,12,57,1,12896770,377,53,10,8.3,37,850,suburban,o2,2018-12-12T13:13:17Z,50378,5
549.88,1544620405,4769.18,51.471481,7.457866,155.11,11.35,-0.24,117.67,1,-91,-6,28,11,46,7,29568768,415,54,2,9.74,69,1815,suburban,tmobile,2018-12-12T13:13:25Z,115503,5
549.88,1544620405,4755.41,51.471558,7.457738,157,11.59,-0.33,118.42,1,-84,-7,16,11,43,5,13394177,497,54,7,62.71,49,860,suburban,vodafone,2018-12-12T13:13:25Z,52321,5
549.82,1544620407,4758.5,51.471454,7.458018,154.85,10.3,-0.91,117.01,1,-86,-12,13,12,50,1,12896770,377,54,1,7.35,34,850,suburban,o2,2018-12-12T13:13:27Z,50378,5
